"species","Id_species","beta_intercept","beta_temp","beta_prec","beta_sais_temp","beta_sais_prec","beta_pet","beta_cwd","beta_ndm","lambda_1","lambda_2"
"Baudouinia rouxevillei",285,-37.7143954726562,-7.03880726209033,3.1672375988415,-4.57512244077263,7.87045276166598,28.5034232266181,-25.4204060903945,14.7921492546277,-4.0149421493848,3.38564608008417
"Manilkara sahafarensis",286,-31.3611381244531,21.1089705167849,4.6576264344545,-9.42864493398576,12.4301879902814,8.0758651975548,-30.442019395055,-1.72739784534572,-0.297884255468235,3.04280911283011
"Adansonia fony",287,-28.4612632615628,9.72228737133181,0.220162509398498,-10.2193611500729,1.72405371588792,1.54503052484821,-0.186249503955444,-1.22142152354995,0.504986865724156,-1.53807433719298
"Delonix adansonioides",288,-10.7350765924832,13.7307046525606,-0.692992547122841,-6.56545567157712,0.231435795382812,-7.68162129888402,-0.826967915014621,-2.78823151944088,0.392164966940006,0.927419014335429
"Diospyros haplostylis",289,-34.0103261216629,15.9315404507658,-0.47441530900818,-16.5823408805815,9.77706882642791,15.9445187319309,-33.6155206790421,-6.92629192518638,-2.95635483558028,6.29927500961673
"Albizia fastigiata",290,-50.4716841195997,-32.1289572791557,2.66438540315023,-21.2101245317393,1.2806940586277,68.6970645543333,-35.3307547835509,6.31903836976861,2.30468669476304,3.85385266692535
"Stereospermum variabile",291,-33.7540836721666,6.32914081210625,-4.06074382912787,-23.4828835566809,4.63157502157105,4.93527859032019,-7.37247648868154,-4.62557459194356,1.33909279716362,1.83726726303099
"Commiphora guillaumini",292,-60.8345063117024,4.3265379752207,39.5345930574719,28.5990676860869,44.0812046680832,36.3284757430206,-72.6409623257349,40.2521083779925,1.19922219512404,-1.3482561419823
"Stereospermum arcuatum",293,-47.0412507455336,-37.2389234612484,17.3710953311239,-37.2204087722965,8.74718819373332,91.2029300948442,-61.3677302306355,-17.8189615260292,-4.91089021849213,-1.09180249861279
"Terminalia calcicola",294,-33.3182238572358,-6.04907639396625,10.2849326579325,-15.1575064567859,18.0360240040051,39.7011596214964,-45.7660193326729,-8.41277421777599,2.82995838969448,-2.18495445248077
"Albizia greveana",295,-35.9656096974663,-0.726462968402997,18.1583211072966,3.53096420640345,13.6271507114065,12.1287513809058,-7.15028394219171,-3.27662130784903,6.10795056292054,-1.61225367606535
"Givotia madagascariensis",296,-19.4835258691118,-5.18676850926149,-0.764467392051999,-9.52347150575646,3.27649177292858,-0.896462202051897,11.6920165090988,-9.27783588121268,-0.921853760802329,-0.83841933281253
"Rinorea greveana",297,-35.4578139134889,-28.4194703911217,12.9095208867914,-1.94323726109439,10.5093662483872,16.0188830087794,18.257066611602,-12.1493418433657,0.506964781785612,-2.51860623195655
"Homalium microphyllum",298,-28.6555948039489,-10.3301635986899,15.2080649436136,-3.63908095632021,13.0933026707293,27.7693760152351,-18.229673334809,-14.0705579753576,-6.1403537648518,-0.199558420091561
"Rauvolfia media",299,-38.1273460865035,47.2164619033276,18.5477383110468,3.84786744430109,10.5765108698904,-61.6347787226767,45.1803100292351,-32.5489141344139,1.19186229721946,-3.00005642197584
"Lovanafia capuroniana",300,-49.1584680065344,25.3571747482399,12.1704025354172,-38.4717353166525,5.84793405193843,7.8558062916113,9.62118115472179,-67.1065134945938,3.31115690321246,0.182558951729016
"Colvillea racemosa",301,-34.826573317358,19.7435609928295,-0.033192856366511,-16.3140911059385,11.064472407643,-49.7752412936962,42.7331876482479,-33.3115877192009,0.401535192573995,-3.1927139711764
"Mimosa delicatula",302,-54.9669269784421,29.0759013270503,26.6805964614061,60.3346804696379,30.9630139417509,-68.222322943324,50.5470839182537,28.7767881762692,-3.02658939750702,3.63685423336527
"Salvadora angustifolia",303,-45.9358775101816,11.8350041547861,3.5542933362879,-7.38761928105219,17.8564030426634,-9.6374783832578,-0.0349416098846792,-6.50451565046659,-2.94672251377776,0.936059404655694
"Zanha suaveolens",304,-36.3681833314702,-0.825051542811783,-3.89612643628038,-45.565500061669,-0.198462242729303,24.7427911827422,-26.7764331228166,-11.143642295185,-0.845966226927163,1.34585208643367
"Adansonia grandidieri",305,-55.0152096550135,-0.202553706395357,3.73218396658223,-23.3507242724637,22.3715949990813,-33.0423641887527,22.3173263220818,-11.8272154866884,4.40552482962312,4.74233315430375
"Euphorbia antso",306,-37.2782942331319,32.810957511894,12.1614633980068,-4.68254429004946,6.57082385022662,-44.6773724342785,1.96769806651426,1.81924964685978,-7.97643147882115,-0.180693454980153
"Entada gigas",307,-43.155241217291,1.98510079651272,2.30724552762358,-16.3070086780083,15.3903946364847,-4.06553740301182,-15.1767964883981,6.91932480920557,-3.19683346745582,-2.00959279559456
