"plot","lat","long","alphas","Valpha","W1","W2"
38,-13.4563666666667,48.9140833333333,-0.0556554644284602,0.0987395041821563,-0.932663873796851,0.679524344023451
39,-13.4566331528412,49.2011,0.299874498800285,0.0987395041821563,0.14880892334585,0.548427330421159
40,-13.4653498195079,48.9140833333333,-0.462148832987018,0.0987395041821563,0.870722008572861,0.795408348686219
41,-13.5523835138255,49.5407333333333,-0.51230704994631,0.0987395041821563,0.91571699443865,0.541860965726118
42,-13.5613664968018,49.5314925410245,-0.368892312107792,0.0987395041821563,-0.715563286243849,0.79215282140753
43,-13.5613664968018,49.5499741256422,-0.0280339028751678,0.0987395041821563,-0.0646800102836569,1.05263804050342
44,-13.5613666666667,49.5407333333333,-0.00810420624609926,0.0987395041821563,-0.87694078087486,0.367440038144551
45,-13.5703498195079,49.5407333333333,-0.300345968596583,0.0987395041821563,-0.302628826097185,0.476839645576829
46,-13.5993168471588,49.5101833333333,0.353382811917585,0.0987395041821563,-0.21341831524011,1.7801312496993
47,-13.6082998295246,49.5009407117061,0.380216045659517,0.0987395041821563,-1.45058239438084,-0.964993619015562
48,-13.6082998295246,49.5194259549605,0.326968157161561,0.0987395041821563,0.341700977941816,1.61770808742084
49,-13.6083,49.5101833333333,0.127296044514224,0.0987395041821563,0.509360296285926,0.226184331379015
50,-13.6172831528412,49.5101833333333,0.245142478921976,0.0987395041821563,-1.70306642834504,-0.26108313191644
51,-13.7091835138255,49.3944333333333,0.0574762947678188,0.0987395041821563,0.152866897822896,0.236302329649608
52,-13.7181664947611,49.3851864023332,-0.311900183441308,0.0987395041821563,0.722114097684091,0.507443080477987
53,-13.7181664947611,49.4036802643335,-0.0647527199596479,0.0987395041821563,-1.25770996739022,1.48800592934563
54,-13.7181666666667,49.3944333333333,-0.0686782551900743,0.0987395041821563,0.02633859253137,0.917076904190725
55,-13.7271498195079,49.3944333333333,-0.0156997153297461,0.0987395041821563,0.0852210705592065,0.842619358257331
56,-13.7382835138255,48.5407333333333,-0.272690434058737,0.0987395041821563,0.0967430388454083,0.000666135665872056
57,-13.7401001804921,48.5601833333333,-0.209348130297421,0.0987395041821563,0.290920404712013,0.249417234744127
58,-13.7472664943821,48.5499814121127,-0.352597046012571,0.0987395041821563,-0.75235575826722,-0.289421967652182
59,-13.7472666666667,48.5407333333333,-0.381191819195803,0.0987395041821563,-1.78614426151764,1.38712363181971
60,-13.7490831610251,48.5509351828113,0.00871808656553528,0.0987395041821563,-0.48349405482632,0.395630158219947
61,-13.7490831610251,48.5694314838553,0.0157893104699162,0.0987395041821563,-0.457883084667279,0.644043028067817
62,-13.7490833333333,48.5601833333333,-0.150422210786698,0.0987395041821563,0.052689966377337,0.279242477255353
63,-13.7562498195078,48.5407333333333,-0.0920132342101107,0.0987395041821563,-0.948399712531145,0.535232955124185
64,-13.7580664861745,48.5601833333333,-0.0724000934015179,0.0987395041821563,-0.134619701521548,0.601389962578223
65,-13.7689835138255,49.60555,-0.0495226392673823,0.0987395041821563,0.657052141448236,1.56240381925923
66,-13.7712168471588,48.1043333333333,-0.208929167994926,0.0987395041821563,0.367494958205683,-0.00899977246730658
67,-13.7779664939821,49.5963007074377,-0.0896781394690356,0.0987395041821563,0.570326913119634,1.37046702258667
68,-13.7779664939821,49.6147992925623,0.201097097550967,0.0987395041821563,0.353104407564542,0.530896705269341
69,-13.7779666666667,49.60555,-0.12549065785314,0.0987395041821563,0.0393483340297872,-0.647408686826471
